,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,limit_status
82,002239.SZ,20231124,3.33,9.063,13.2054,0.72,121.3125,78.7193,1.9305,1.7335,1.6209,0.0,,324325.8144,324315.3144,222581.3749,1080004.962,1079969.997,0
83,603668.SH,20231124,18.26,1.6902,2.4931,0.88,61.1189,,3.9555,1.1365,1.1385,0.2156,0.1643,43613.4976,43613.4976,29566.8593,796382.4662,796382.4662,0
84,300227.SZ,20231124,8.1,2.0226,2.1679,0.93,50.584,103.6329,2.5872,3.9308,3.9067,0.0,,49978.0023,40743.4452,38013.4447,404821.8186,330021.9061,0
85,002149.SZ,20231124,15.0,1.0791,1.6658,1.1,39.6064,36.5183,2.53,2.4898,2.3397,0.6667,1.3333,48821.4274,48813.9274,31622.0182,732321.411,732208.911,0
86,600543.SH,20231124,5.84,0.7064,1.0822,0.49,,,1.993,17.3138,10.8749,0.0,,32112.0,32112.0,20961.0483,187534.08,187534.08,0
87,000908.SZ,20231124,3.64,7.5948,9.289,0.66,,,24.7587,3.8094,4.0916,0.0,,87977.4351,78890.7887,64501.535,320237.8638,287162.4709,0
88,301326.SZ,20231124,36.39,2.636,2.636,1.05,30.6046,,1.9302,2.5396,3.5781,,1.0992,7219.2828,2219.2828,2219.2828,262709.7011,80759.7011,0
89,600339.SH,20231124,3.24,0.4342,1.5616,0.9,25.0983,24.5862,0.6911,0.2164,0.229,0.7716,1.2037,558314.7471,558314.7471,155218.0662,1808939.7806,1808939.7806,0
90,002307.SZ,20231124,4.58,0.7668,1.2294,1.07,125.4109,220.4383,1.6935,0.4983,0.6267,0.0,,126829.1582,109103.0717,68051.5931,580877.5446,499692.0684,0
91,301065.SZ,20231124,24.23,4.7292,4.7292,1.48,43.1816,46.2201,1.9997,3.3857,3.745,0.963,0.4127,10602.0,4562.535,4562.535,256886.46,110550.2231,0
92,300265.SZ,20231124,9.2,0.6168,1.237,0.89,51.5974,32.8004,1.8788,2.024,1.8039,0.1731,0.2164,45828.5955,36465.0583,18182.0583,421623.0786,335478.5364,0
93,603172.SH,20231124,17.25,6.2771,6.2771,0.81,34.0253,47.023,2.2401,4.2203,4.3813,,,13338.0,3338.0,3338.0,230080.5,57580.5,0
94,600605.SH,20231124,22.34,4.6889,11.2314,1.04,497.2348,135.4214,3.6003,42.4796,36.6172,0.3939,0.4476,20628.2429,20628.2429,8611.8236,460834.9464,460834.9464,0
95,688521.SH,20231124,54.48,0.8203,1.3657,1.61,368.8495,,9.4228,10.1629,10.6374,,,49974.9518,48751.7485,29281.3448,2722635.3741,2655995.2583,0
96,688187.SH,20231124,37.44,0.8618,0.8618,0.86,20.7463,17.4061,1.4781,2.9403,2.4948,,,141623.6912,25994.1044,25994.1044,5302390.9985,973219.2687,0
97,300200.SZ,20231124,9.97,12.1127,19.0542,2.44,30.5246,32.2423,2.1144,4.2296,4.0869,1.4854,1.5045,43097.3206,42231.7542,26846.5747,429680.2864,421050.5894,0
98,002866.SZ,20231124,21.39,8.644,11.4659,0.76,53.8422,69.6816,2.9346,3.0984,3.5498,0.2786,0.187,28952.2256,18061.0781,13616.0531,619288.1056,386326.4606,0
99,002647.SZ,20231124,6.44,8.5466,10.8456,0.71,,,62.1781,2.1764,2.0956,0.0,,55993.665,55993.665,44124.3575,360599.2026,360599.2026,0
