ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
920230.BJ,欧康医药,20250808,17.18,17.53,17.09,17.36,17.35,0.01,16736.77,28967.298,3.5832,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250807,17.39,17.65,17.0,17.35,17.37,-0.02,22663.89,39308.49,4.8521,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250806,17.77,18.14,17.23,17.37,18.02,-0.65,38968.71,68356.903,8.3429,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250805,18.41,18.41,17.7,18.02,18.6,-0.58,42910.52,77184.227,9.1868,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250804,18.33,18.77,17.84,18.6,17.8,0.8,65444.04,120042.538,14.011,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250801,17.2,18.63,17.2,17.8,17.3,0.5,53444.74,96665.548,11.4421,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250731,18.32,18.32,17.3,17.3,18.17,-0.87,43550.72,78143.899,9.3238,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250730,17.53,18.5,17.3,18.17,17.77,0.4,50859.8,91343.495,10.8886,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250729,17.55,18.72,17.11,17.77,17.7,0.07,51719.19,92408.968,11.0726,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250728,17.04,17.88,16.8,17.7,16.8,0.9,53915.18,93987.695,11.5428,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250725,16.97,17.66,16.72,16.8,16.94,-0.14,29422.16,50594.234,6.299,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250724,16.4,17.07,16.3,16.94,16.7,0.24,22219.19,37380.7,4.7569,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250723,17.25,17.25,16.53,16.7,16.84,-0.14,24858.19,42022.644,5.3219,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250722,16.7,17.28,16.56,16.84,16.56,0.28,24848.2,41616.077,5.3198,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250721,16.12,16.58,16.05,16.56,16.11,0.45,20192.41,32989.921,4.323,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250718,16.14,16.19,15.95,16.11,16.14,-0.03,7450.92,11944.656,1.5952,4670.9014,四川,生物制药,北交所
920230.BJ,欧康医药,20250717,16.06,16.19,16.0,16.14,16.07,0.07,7163.99,11542.927,1.5337,4670.9014,四川,生物制药,北交所
