ts_code,name,trade_date,open,high,low,close,pre_close,change,vol,amount,turnover_rate,float_share,area,industry,market
600736.SH,苏州高新,20250902,5.61,5.62,5.52,5.57,5.61,-0.04,164354.01,91386.613,1.4276,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250901,5.62,5.66,5.56,5.61,5.63,-0.02,146581.09,82145.075,1.2732,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250829,5.75,5.75,5.62,5.63,5.69,-0.06,154143.07,87422.73,1.3389,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250828,5.63,5.72,5.57,5.69,5.66,0.03,231585.54,130759.851,2.0115,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250827,5.82,5.83,5.63,5.66,5.79,-0.13,213460.75,122414.146,1.8541,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250826,5.82,5.84,5.78,5.79,5.85,-0.06,180429.39,104652.951,1.5672,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250825,5.83,5.89,5.79,5.85,5.81,0.04,282488.65,164969.335,2.4537,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250822,5.84,5.9,5.76,5.81,5.77,0.04,233230.01,135568.333,2.0258,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250821,5.81,5.84,5.75,5.77,5.83,-0.06,219784.45,127368.642,1.909,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250820,5.79,5.84,5.74,5.83,5.72,0.11,284786.57,165109.48,2.4736,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250819,5.74,5.76,5.68,5.72,5.76,-0.04,205808.4,117727.86,1.7876,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250818,5.64,5.82,5.61,5.76,5.64,0.12,315170.7,180131.327,2.7375,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250815,5.59,5.65,5.57,5.64,5.58,0.06,136425.0,76641.802,1.185,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250814,5.68,5.71,5.57,5.58,5.66,-0.08,156269.78,88051.522,1.3573,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250813,5.71,5.71,5.63,5.66,5.69,-0.03,150085.0,85005.076,1.3036,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250812,5.62,5.72,5.61,5.69,5.63,0.06,205358.4,116425.21,1.7837,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250811,5.59,5.65,5.58,5.63,5.58,0.05,179300.0,100935.173,1.5574,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250808,5.57,5.6,5.54,5.58,5.56,0.02,127561.0,71066.181,1.108,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250807,5.53,5.65,5.51,5.56,5.52,0.04,198978.2,110872.303,1.7283,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250806,5.47,5.56,5.44,5.52,5.48,0.04,120884.39,66483.745,1.05,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250805,5.45,5.5,5.45,5.48,5.45,0.03,84436.58,46225.109,0.7334,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250804,5.41,5.46,5.41,5.45,5.47,-0.02,99521.01,54085.762,0.8644,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250801,5.43,5.48,5.43,5.47,5.44,0.03,88447.0,48267.002,0.7682,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250731,5.53,5.55,5.41,5.44,5.53,-0.09,160117.0,87571.601,1.3908,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250730,5.55,5.6,5.53,5.53,5.57,-0.04,143903.24,80146.167,1.2499,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250729,5.58,5.59,5.52,5.57,5.58,-0.01,134790.1,74813.727,1.1708,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250728,5.58,5.59,5.53,5.58,5.58,0.0,121399.93,67535.874,1.0545,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250725,5.57,5.59,5.54,5.58,5.56,0.02,170618.12,95035.416,1.482,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250724,5.51,5.59,5.5,5.56,5.51,0.05,164083.95,91152.719,1.4252,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250723,5.59,5.6,5.51,5.51,5.57,-0.06,163570.44,90995.883,1.4208,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250722,5.56,5.57,5.48,5.57,5.55,0.02,159669.84,88300.862,1.3869,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250721,5.5,5.55,5.49,5.55,5.49,0.06,141964.0,78546.149,1.2331,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250718,5.54,5.54,5.47,5.49,5.52,-0.03,111790.2,61366.181,0.971,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250717,5.55,5.56,5.48,5.52,5.54,-0.02,145311.1,80124.53,1.2622,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250716,5.53,5.64,5.49,5.54,5.52,0.02,237236.4,131860.236,2.0606,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250715,5.47,5.52,5.38,5.52,5.48,0.04,178337.98,97207.764,1.549,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250714,5.5,5.53,5.45,5.48,5.51,-0.03,132047.3,72385.183,1.1469,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250711,5.53,5.58,5.49,5.51,5.5,0.01,194267.68,107077.71,1.6874,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250710,5.42,5.54,5.42,5.52,5.43,0.09,198200.85,108854.067,1.7216,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250709,5.43,5.47,5.42,5.43,5.45,-0.02,118313.0,64379.897,1.0277,115129.2907,江苏,园区开发,主板
600736.SH,苏州高新,20250708,5.4,5.45,5.39,5.45,5.39,0.06,152254.99,82637.232,1.3225,115129.2907,江苏,园区开发,主板
